Year (year),State Code (state_code),State Name (state_name),District Code (district_code),District Name (district_name),Block Code (block_code),Block Name (block_name),Gram Panchayat Code (gp_code),Gram Panchayat Name (gp_name),Village Code (village_code),Village Name (village_name),Kutcha Wall & Roof Households (hh_kutcha_wall_roof),Kutcha Wall & Roof Households (%) (perct_hh_kutcha_wall_roof),PMAY Houses (pmay_house),PMAY Permanent Waitlist (pmay_permanent_wait_list),State Housing Scheme Houses (any_state_housing_scheme),State Housing Scheme Permanent Waitlist (any_state_housing_permanent_wait_list)
"2020","27","Maharashtra","665","Palghar","4594","Mokhada","192157","Karol","552011","Vp-Pachghar",24,19.35,10,2,5,2
"2020","27","Maharashtra","665","Palghar","4594","Mokhada","192157","Karol","552012","Karol",15,7.01,20,5,10,5
"2020","27","Maharashtra","665","Palghar","4594","Mokhada","192158","Kashti","552005","Sawarde",25,18.94,15,5,2,5
"2020","27","Maharashtra","665","Palghar","4594","Mokhada","192158","Kashti","552006","Kashti",5,4.67,20,38,0,0
"2020","27","Maharashtra","665","Palghar","4594","Mokhada","192150","Beriste","551959","Osarvira",25,10.68,150,100,50,40
"2020","27","Maharashtra","665","Palghar","4594","Mokhada","192150","Beriste","551960","Kalamgaon",15,12.4,121,12,18,10
"2020","27","Maharashtra","665","Palghar","4594","Mokhada","192150","Beriste","551965","Beriste",70,18.09,10,50,10,20
"2020","27","Maharashtra","665","Palghar","4594","Mokhada","192167","Poshera","551972","Poshera",25,6.48,250,125,90,25
"2020","27","Maharashtra","665","Palghar","4594","Mokhada","192167","Poshera","551973","Vp-Laxminagar",10,7.69,90,40,30,10
"2020","27","Maharashtra","665","Palghar","4594","Mokhada","192162","Dhamanshet","551985","Koshimshet",55,12.79,297,111,16,41
"2020","27","Maharashtra","665","Palghar","4594","Mokhada","192162","Dhamanshet","551986","Dhamanshet",35,11.63,100,40,30,5
"2020","27","Maharashtra","665","Palghar","4594","Mokhada","192151","Chas","551966","Chas",560,84.34,58,95,0,0
"2020","27","Maharashtra","665","Palghar","4594","Mokhada","192173","Udhale","552001","Wakadpada",6,1.02,39,5,9,8
"2020","27","Maharashtra","665","Palghar","4594","Mokhada","192173","Udhale","552002","Udhale",15,6.55,4,4,8,4
"2020","27","Maharashtra","665","Palghar","4594","Mokhada","192168","Sakhari","551971","Gonde Kh.",25,11.01,45,20,20,30
"2020","27","Maharashtra","665","Palghar","4594","Mokhada","192168","Sakhari","551975","Charangaon",25,9.12,51,24,10,5
"2020","27","Maharashtra","665","Palghar","4594","Mokhada","192168","Sakhari","551976","Sakhari",60,17.8,50,30,20,5
"2020","27","Maharashtra","665","Palghar","4594","Mokhada","192172","Suryamal","551994","Kevanale",38,25.17,35,38,5,3
"2020","27","Maharashtra","665","Palghar","4594","Mokhada","192172","Suryamal","551995","Suryamal",20,6.25,56,100,20,20
"2020","27","Maharashtra","665","Palghar","4594","Mokhada","192172","Suryamal","552004","Amale",35,48.61,42,35,2,5
"2020","27","Maharashtra","665","Palghar","4594","Mokhada","192148","Adoshi","551989","Shirasgaon",70,27.89,23,78,0,0
"2020","27","Maharashtra","665","Palghar","4594","Mokhada","192148","Adoshi","551990","Adoshi",16,5.71,90,60,40,15
"2020","27","Maharashtra","665","Palghar","4594","Mokhada","192169","Saturli","551980","Vp-Palsunda",50,14.93,100,50,10,5
"2020","27","Maharashtra","665","Palghar","4594","Mokhada","192169","Saturli","551981","Saturly",50,10.85,151,222,52,63
"2020","27","Maharashtra","665","Palghar","4594","Mokhada","237273","Morhanda","551968","Vp-Morhanda",30,5.55,380,250,2,20
"2020","27","Maharashtra","665","Palghar","4594","Mokhada","237273","Morhanda","551974","Gonde Bk.",200,37.52,300,150,200,150
"2020","27","Maharashtra","665","Palghar","4594","Mokhada","192154","Gomghar","551996","Vp-Dudhgaon",10,8.7,70,0,4,4
"2020","27","Maharashtra","665","Palghar","4594","Mokhada","192154","Gomghar","551997","Gomghar",30,8.75,40,50,0,0
"2020","27","Maharashtra","665","Palghar","4594","Mokhada","192154","Gomghar","552003","Vashind",20,11.76,58,35,2,1
"2020","27","Maharashtra","665","Palghar","4594","Mokhada","192152","Dandwal","551962","Dandwal",25,12.56,35,15,5,10
"2020","27","Maharashtra","665","Palghar","4594","Mokhada","192152","Dandwal","551963","Nilmati",20,11.98,56,40,30,35
"2020","27","Maharashtra","665","Palghar","4594","Mokhada","192166","Botoshi","551991","Pathardi",19,8.96,90,45,21,8
"2020","27","Maharashtra","665","Palghar","4594","Mokhada","192166","Botoshi","551992","Botoshi",35,14.23,5,2,5,5
"2020","27","Maharashtra","665","Palghar","4594","Mokhada","192163","Kurlod","551993","Kurlod",26,9.59,90,45,20,15
"2020","27","Maharashtra","665","Palghar","4594","Mokhada","192170","Sayade","551999","Jogalwadi",15,7.08,150,60,45,25
"2020","27","Maharashtra","665","Palghar","4594","Mokhada","192170","Sayade","552000","Sayade",35,6.36,250,100,50,25
"2020","27","Maharashtra","665","Palghar","4594","Mokhada","192171","Shivali","551984","Shivali",10,5.88,90,50,10,10
"2020","27","Maharashtra","665","Palghar","4594","Mokhada","192161","Kiniste","552007","Kiniste",10,3.42,67,76,1,0
